PSkr | PTsr | ATsr | OTsr | Tsr | Orthography
sœcren → sœsren → sœsren → seusren → seuþrin → seuthrin
ésœcren → ésœsren → ésœsren → éþeusren → éþeusrin → étheusrin
gēssal → gēssal → kessar → kessar → kessar → cessar
hac¢gēssal → has¢gēssal → as¢kessar → as¢kessar → askessar → ascessar
épebes → épebes → éphepes → éøepe → éfeb → éfeb
épibis → épibis → éphipis → éøipi → éfiib → éfîb
épibism → épibism → éphipisn → éøipinn → éfibin → éfibin
pibiswat → pibiswat → phipiswath → øipixat → fibixad → fibichad
ómār → ómār → ómār → ómōr → ówaur → ówaur
ómērs → ómērs → ómers → ómers → ówes → ówes
ómērm → ómērm → ómern → ómern → ówer → ówer
maréwat → maréwat → maréwath → maréwat → maréwad → maréwad
éwel → éwel → éwer → éwer → éwer → éwer
éwils → éwils → éwils → éwils → éwilt → éwilt
éwilm → éwilm → éwiln → éwill → éwil → éwil
wilwat → wilwat → wilwath → wilwat → gwilwad → gwilwad
éked → éked → ékhet → éxe → éx → éch
ékeds → ékeds → ékhets → éxets → éxeds → écheds
ékedm → ékedm → ékhetn → éxenn → éxin → échin
kdéwat → kdéwat → ktéwath → kþéwat → keþéwad → cethéwad
kes → kes → khes → xeh → hē → hê
kes → kes → khes → xeh → hē → hê
kesm → kesm → khesn → xenn → hēn → hên
kaswat → kaswat → khaswath → xaxat → haxad → hachad
rebh → rebh → reo → reo → re → re
rebhs → rebhs → reus → reu → re → re
rebhm → rebhm → reun → reun → reun → reun
rabhwat → rabhwat → rauwath → rōwat → rauwad → rauwad
yœj → yœz → yœz → yeuz → yeur → yeur
yœjs → yœzs → yœzs → yeuzs → yeus → yeus
yœjm → yœzm → yœzn → yeuzn → yeur → yeur
yojwat → yozwat → yozwath → yozwat → yorwad → yorwad
jlk → zalk → zalkh → zalx → ðalx → dhalch
jlks → zalks → zalkhs → zalxs → ðalt → dhalt
jlkm → zalkm → zalkhn → zalxn → ðalx → dhalch
jalkwat → zalkat → zalkhath → zalxat → ðalxad → dhalchad
shæ → shæ → ræ → rī → ri → ri
séhes → sēas → sēas → sēa → sa → sa
séhem → sēam → sēan → sēan → saean → saean
shēwat → shēwat → rēwath → rēwat → raewad → raewad
shæhr → shæhr → rær → rīr → rīr → rîr
swœ → swœ → swœ → xeu → he → he
swœs → swœs → swœs → xeu → he → he
swœm → swœm → swœn → xeun → heun → heun
swowat → swowat → swowath → xowat → howad → howad
sgwana → sgana → skan → sxan → hān → hân
ségwns → ségens → sékens → sékess → séges → séges
ségwnm → ségenm → sékenn → sékenn → ségin → ségin
sgwanawat → sganawat → skanawath → sxanawat → hanaud → hanaud
sdāt → sdāt → stāth → sþōt → þaud → thaud
sdāts → sdāts → staths → sþaþs → þas → thas
sdātm → sdātm → stathn → sþatþ → þats → thats
sdatwat → sdatwat → stathwath → sþaþwat → þaswad → thaswad
gbekw → gbek → kpekh → køex → kefex → cefech
gbekws → gbeks → kpekhs → køexs → kefexs → cefechs
gbekwm → gbekm → kpekhn → køexn → kefex → cefech
gbakwwat → gbakwat → kpakhwath → køaxwat → kefaxwad → cefachwad
gtmn → gtemn → kthemn → kþemn → keþeu → cetheu
gótmns → gótemens → kóthemens → kóþemess → kóþewes → cóthewes
gótmnm → gótemenm → kóthemenn → kóþemenn → kóþewin → cóthewin
gtmnówat → gtemnówat → kthemnówath → kþemnówat → keþeunówad → cetheunówad
gtmnhr → gtemenhr → kthemenr → kþemenr → keþeweðer → cethewedher
ghecr → ghasr → ħasr → ħasr → aþer → ather
géhcrs → gēsurs → kēsurs → kēhurs → kaeos → caeos
géhcrm → gēsurm → kēsurn → kēhurn → kaeor → caeor
ghecrwat → ghasurwat → ħasurwath → aþurwat → aþurwad → athurwad
gmbalar → gembalar → kempalar → kemøalar → kemalar → cemalar
gémblrs → gémbalurs → kémpalurs → kémøalurs → kémalos → cémalos
gémblrm → gémbalurm → kémpalurn → kémøalurn → kémalor → cémalor
gmbalarwat → gembalarwat → kempalarwath → kemøalarwat → kemalarwad → cemalarwad
whaser → whaser → xaser → xaher → haer → haer
whasers → whasers → xasers → xahers → haes → haes
whaserm → whaserm → xasern → xahern → haer → haer
whasarwat → whasarwat → xasarwath → xaharwat → haarwad → harwad
ulorang → ulorang → uloraŋk → uloraŋx → gloraŋk → glorañc
wólorangs → wólorangs → waloraŋks → waloraŋxs → gwaloraŋ → gwalorañ
wólorangm → wólorangm → waloraŋkn → waloraŋgn → gwaloraŋ → gwalorañ
ulrngówat → ulrengówat → ulleŋkówath → ulleŋxówat → gleŋgówad → gleñgówad
ulorangst → ulorangst → uloraŋksth → uloraŋxst → glorant → glorant
udereb → udereb → uterep → utere → eter → eter
wédrbs → wédurbs → wéturps → wéturøs → gwédorþ → gwédorth
wédrbm → wédurbm → wéturpn → wéturbn → gwéduru → gwéduru
uderebwat → uderebwat → utereppath → uterepøat → eterepfad → eterepfad
uræk → uræk → urækh → urīx → grix → grich
uræks → uræks → urækhs → urīxs → grixs → grichs
urækm → urækm → urækhn → urīxn → grix → grich
urekéwat → urekéwat → urekhéwath → urexéwat → grexéwad → grechéwad
wérekhr → wérekhr → wérekhr → wérexr → gwérexer → gwérecher
éhedr → ēadr → ēatr → ēatr → aeader → aeader
hedrs → hadurs → aturs → aturs → ados → ados
hedrm → hadurm → aturn → aturn → ador → ador
hdréwat → adréwat → atréwath → atréwat → adréwad → adréwad
éhidrst → ēidurst → ēitursth → ēiturst → aeidost → aeidost
ódaros → ódaros → ótaros → ótaro → ódar → ódar
ódaros → ódaros → ótaros → ótaro → ódar → ódar
ódarosm → ódarosm → ótarosn → ótaronn → ódaron → ódaron
drsówat → dursówat → tursówath → tursówat → tossówad → tossówad
darost → darost → tarosth → tarost → tarost → tarost
ébel → ébel → éper → éper → éber → éber
ébils → ébils → épils → épils → ébilt → ébilt
ébilm → ébilm → épiln → épill → ébil → ébil
belwat → belwat → pelwath → pelwat → pelwad → pelwad
óscor → óssor → óssor → óssor → óssor → óssor
óscors → óssors → óssors → óssors → óssos → óssos
óscorm → óssorm → óssorn → óssorn → óssor → óssor
scrówat → srówat → srówath → rhówat → rhówad → rhówad
scorst → sorst → sorsth → sorst → sost → sost
éhepr → ēapr → ēaphr → ēaør → aeafer → aeafer
éheprs → ēapurs → ēaphurs → ēaøurs → aeafos → aeafos
éheprm → ēapurm → ēaphurn → ēaøurn → aeafor → aeafor
hpréwat → apréwat → aphréwath → aøréwat → afréwad → afréwad
heprst → hapurst → aphursth → aøurst → afost → afost
ójltm → ózaltm → ózalthn → ózalþþ → óralþ → óralth
ójltms → ózaltems → ózalthems → ózalþess → óralles → óralles
ójltm → ózaltm → ózalthn → ózalþþ → óralþ → óralth
jltmówat → zaltmówat → zalthmówath → zalþwówat → ðalwówad → dhalwówad
jltmst → zaltemst → zalthemsth → zalþesst → ðaltest → dhaltest
noc → nos → nos → noh → nō → nô
nocs → noss → noss → noss → nos → nos
nocm → nosm → losn → lonn → lōn → lôn
nacwat → naswat → naswath → naxat → naxad → nachad
ubast → ubast → upasth → upast → epast → epast
wébsts → wébsts → wépsths → wépsþs → gwébs → gwébs
wébstm → wébstm → wépsthn → wépstþ → gwébþ → gwébth
ubastwat → ubastwat → upasthwath → upasþwat → epaswad → epaswad
whoy → whoy → xoe → xoe → hō → hô
whoys → whoys → xois → xui → ho → ho
whoym → whoym → xoin → xuin → hoen → hoen
whyówat → whyówat → xyówath → xyówat → hiówad → hiówad
wéhyst → wēyst → weisth → weist → gweist → gweist
ndatr → endatr → entathr → enþaþr → enaþer → enather
ndawat → endawat → entawath → enþawat → enaud → enaud
ndatrm → endaturm → entathurn → enþaþurn → enasor → enasor
ndawat → endawat → entawath → enþawat → enaud → enaud
ghade → ghade → ħat → ħat → ād → âd
géhades → gēades → kēates → kēate → kaead → caead
géhadem → gēadem → kēaten → kēaten → kaeadin → caeadin
ghdēwat → ghdēwat → xtēwath → xtēwat → taewad → taewad
ghadehr → ghadār → ħatār → atōr → adaur → adaur
ghœc → ghœs → ħœs → ħeuh → e → e
góhocs → gōoss → kōoss → kōoss → kaus → caus
góhocm → gōosm → kōosn → kōonn → kaun → caun
ghœcwat → ghœswat → ħœswath → euxat → euxad → euchad
hang → hang → aŋk → aŋx → aŋk → añc
hangs → hangs → aŋks → aŋxs → aŋ → añ
hangm → hangm → aŋkn → aŋgn → aŋ → añ
hangwat → hangat → aŋkath → aŋxat → aŋgad → añgad
ghelek → ghalek → ħalekh → alex → alex → alech
géhlks → gēalks → kēalkhs → kēalxs → kaealþ → caealth
géhlkm → gēalkm → kēalkhn → kēalxn → kaealx → caealch
ghelekwat → ghalekat → ħalekhath → alexat → alexad → alechad
éhokot → ēokot → ēokhoth → ēoxot → aeuxod → aeuchod
éhekets → ēakets → ēakheths → ēaxeþs → aeaxeþ → aeacheth
éheketm → ēaketm → ēakhethn → ēaxetþ → aeaxets → aeachets
hokotwat → hokotwat → okhothwath → oxoþwat → oxoþwad → ochothwad
éklt → ékalt → ékhalth → éxalþ → éxalt → échalt
éklts → ékalts → ékhalths → éxalþs → éxalþ → échalth
ékltm → ékaltm → ékhalthn → éxalþþ → éxalþ → échalth
kltwat → kaltwat → khalthwath → xalþwat → halwad → halwad
émæ → émæ → émæ → émī → éwi → éwi
émes → émes → émes → éme → éu → éu
émem → émem → émen → émen → éwin → éwin
mēwat → mēwat → mēwath → mēwat → maewad → maewad
mæhr → mæhr → mær → mīr → mīr → mîr
njœn → enzœn → enzœn → enzeun → eðreun → edhreun
njœns → enzœns → enzœns → enzeuss → eðreus → edhreus
njœnm → enzœnm → enzœnn → enzeunn → eðreun → edhreun
njonówat → enzonówat → enzonówath → enzonówat → eðronówad → edhronówad
ónjonhr → ónzonhr → ónzonr → ónzonr → óðroðer → ódhrodher
énel → énel → éner → éner → éner → éner
énils → énils → énils → énils → énilt → énilt
énilm → énilm → éniln → énill → énil → énil
ánilwat → ánilwat → ánilwath → ánilwat → ánilwad → ánilwad
órœs → órœs → órœs → óreu → óre → óre
óros → óros → óros → óro → ór → ór
órosm → órosm → órosn → óronn → óron → óron
rœswat → rœswat → rœswath → reuxat → reuxad → reuchad
oscan → ossan → ossan → ossan → ossan → ossan
oscans → ossans → ossans → ossass → ossas → ossas
oscanm → ossanm → ossann → ossann → ossan → ossan
scnowat → snowat → snowath → nhowat → nowad → nowad
scanst → sanst → sansth → sasst → sast → sast
ósōh → ósō → ósō → óþo → óþ → óth
ósohs → ósōs → ósōs → óþo → óþ → óth
ósohm → ósōm → ósōn → óþōn → óþaun → óthaun
sohówat → sōówat → sōówath → sōówat → sawówad → sawówad
sōhhr → sōhr → sor → sor → sōr → sôr
éwæl → éwæl → éwær → éwīr → éwir → éwir
éwels → éwels → éwels → éwels → éwelt → éwelt
éwelm → éwelm → éweln → éwell → éwel → éwel
weléwat → weléwat → weléwath → weléwat → gweléwad → gweléwad
wælhr → wælhr → wæll → wīll → gwil → gwil
éhngws → ēengs → ēeŋks → ēeŋxs → aeeŋ → aeeñ
éhngws → ēengs → ēeŋks → ēeŋxs → aeeŋ → aeeñ
éhngwsm → ēengsm → ēeŋksn → ēeŋxnn → aeen → aeen
hngwswat → hengswat → eŋkswath → eŋxxat → eŋxad → eñchad
ébēw → ébēw → épēo → épēo → ébae → ébae
ébews → ébews → épeus → épeu → ébe → ébe
ébewm → ébewm → épeun → épeun → ébeun → ébeun
bewéwat → bewéwat → pewéwath → pewéwat → pewéwad → pewéwad
bēwhr → bēwhr → pexr → pexr → pexer → pecher
éhehm → ēām → ēān → ēōn → aeaun → aeaun
éhihms → ēīems → ēīems → ēīess → aeies → aeies
éhihm → ēīm → ēīn → ēīn → aein → aein
hehmwat → hāemwat → āemwath → ōenwat → awembad → awembad
éndam → éndam → éntan → énþan → énan → énan
éndms → éndems → éntems → énþess → énes → énes
éndm → éndm → éntn → énnn → én → én
ndamwat → endamwat → entamwath → enþanwat → enambad → enambad
umbanda → umbanda → umpant → umøanþ → gmant → gmant
umbandas → umbandas → umpantas → umøanþa → gmant → gmant
umbandam → umbandam → umpantan → umøanþan → gmanan → gmanan
umbndéwat → umbendéwat → umpentéwath → umøenþéwat → gmenéwad → gmenéwad
wémbndhr → wémbendhr → wémpenðr → wémøenðr → gwémener → gwémener
whadar → whadar → xatar → xatar → hadar → hadar
wéhdrs → wēdurs → wēturs → wēturs → gwaedos → gwaedos
wéhdrm → wēdurm → wēturn → wēturn → gwaedor → gwaedor
whadarwat → whadarwat → xatarwath → xatarwat → hadarwad → hadarwad
usœr → usœr → usœr → uþeur → eþeur → etheur
usœrs → usœrs → usœrs → uþeurs → eþeus → etheus
usœrm → usœrm → usœrn → uþeurn → eþeur → etheur
usorwat → usorwat → usorwath → uþorwat → eþorwad → ethorwad
undep → undep → unteph → unþeø → gnef → gnef
undeps → undeps → untephs → unþeøs → gnefs → gnefs
undepm → undepm → untephn → unþeøn → gnef → gnef
undapwat → undapwat → untaphphath → unþaøøat → gnaffad → gnaffad
ólœtr → ólœtr → ólœthr → óleuþr → óleuþer → óleuther
ólowat → ólowat → ólowath → ólowat → ólowad → ólowad
ólotrm → óloturm → ólothurn → óloþurn → óloþor → ólothor
lœwat → lœwat → lœwath → leuat → lewad → lewad
ulast → ulast → ulasth → ulast → glast → glast
ulasts → ulasts → ulasths → ulasþs → glas → glas
ulastm → ulastm → ulasthn → ulastþ → glaþ → glath
ulstéwat → ulstéwat → ulsthéwath → ulsþéwat → eþéwad → ethéwad
wélsthr → wélsthr → wélsthr → wélsþr → gwéler → gwéler
hacat → hasat → asath → aþat → aþad → athad
hacats → hasats → asaths → aþaþs → aþas → athas
hacatm → hasatm → asathn → aþatþ → aþats → athats
hacatwat → hasatwat → asathwath → aþaþwat → aþaswad → athaswad
usakm → usakm → usakhn → uþaxn → eþax → ethach
usakms → usakems → usakhems → uþaxess → eþaxes → ethaches
usakm → usakm → usakhn → uþaxn → eþax → ethach
usakmwat → usakemwat → usakhemwath → uþaxenwat → eþaxembad → ethachembad
ukāh → ukā → ukhā → uxa → ex → ech
wékahs → wékās → wékhās → wéxa → gwéx → gwéch
wékahm → wékām → wékhān → wéxōn → gwéxaun → gwéchaun
ukāhwat → ukāwat → ukhāwath → uxōwat → exauwad → echauwad
umodr → umodr → umotr → umotr → gmoder → gmoder
wómdrs → wómdurs → wanturs → wanþurs → gwanos → gwanos
wómdrm → wómdurm → wanturn → wanþurn → gwanor → gwanor
umodrs → umodurs → umoturs → umoturs → gmodos → gmodos
gwene → gene → ken → ken → kēn → cên
géwns → géwens → kéwens → kéwess → kéwes → céwes
géwnm → géwenm → kéwenn → kéwenn → kéwin → céwin
gwenewat → genewat → kenewath → kenewat → kenewad → cenewad
undas → undas → untas → unþa → et → et
undas → undas → untas → unþa → et → et
undasm → undasm → untasn → unþann → gnan → gnan
undaswat → undaswat → untaswath → unþaxat → gnaxad → gnachad
wapt → wapt → wapth → wapþ → gwapþ → gwapth
wéwapts → wéwapts → wéwapths → wéwapþs → gwéwaps → gwéwaps
wéwaptm → wéwaptm → wéwapthn → wéwapþþ → gwéwapþ → gwéwapth
ūptéwat → ūptéwat → upthéwath → upþéwat → eþéwad → ethéwad
wapthr → wapthr → wapthr → wapþr → gwaper → gwaper
whoror → whoror → xoror → xoror → horor → horor
wóhrrs → wōururs → wōururs → wōururs → gwauros → gwauros
wóhrrm → wōururm → wōururn → wōururn → gwauror → gwauror
whororwat → whororwat → xororwath → xororwat → hororwad → hororwad
umeht → umāt → umāth → umōt → gmaud → gmaud
umehts → umāts → umaths → umaþs → gmaþ → gmath
umehtm → umātm → umathn → umatþ → gmats → gmats
umhtéwat → umhtéwat → umxthéwath → umxþéwat → eþéwad → ethéwad
wémhthr → wémhthr → wémxthr → wémxþr → gwéwer → gwéwer
ulabat → ulabat → ulapath → ulapat → glabad → glabad
ulabats → ulabats → ulapaths → ulapaþs → glabaþ → glabath
ulabatm → ulabatm → ulapathn → ulapatþ → glabats → glabats
ulabatwat → ulabatwat → ulapathwath → ulapaþwat → glabaþwad → glabathwad
uhebs → ūabs → ūaps → ūaps → uabs → uabs
uhebs → ūabs → ūaps → ūaps → uabs → uabs
uhebsm → ūabsm → ūapsn → ūapnn → uaben → uaben
uhabswat → ūabswat → ūapswath → ūapxat → uapxad → uapchad
jmtm → zemtm → zenthn → zenþþ → ðens → dhens
jmtms → zemtems → zenthems → zenþess → ðenses → dhenses
jmtm → zemtm → zenthn → zenþþ → ðens → dhens
jmtméwat → zemtméwat → zenthméwath → zenþwéwat → ðenwéwad → dhenwéwad
éjmtmhr → ézemtemhr → ézenthemr → ézenþemr → érenewer → érenewer
hanar → hanar → anar → anar → anar → anar
hanars → hanars → anars → anars → anas → anas
hanarm → hanarm → anarn → anarn → anar → anar
hnrawat → henrawat → enrawath → enrawat → eðraud → edhraud
ahenerst → āanerst → āanersth → ōanerst → awanest → awanest
kwān → kān → khān → xōn → haun → haun
ekwans → ekans → ekhans → exass → exas → echas
ekwanm → ekanm → ekhann → exann → exan → echan
kwanewat → kanewat → khanewath → xanewat → hanewad → hanewad
kwānst → kānst → khansth → xasst → hast → hast
peder → peder → pheter → øeter → feder → feder
peders → peders → pheters → øeters → fedes → fedes
pederm → pederm → phetern → øetern → feder → feder
pdrœwat → pdrœwat → ptrœwath → pþreuat → prewad → prewad
œpidirst → œpidirst → œphitirsth → euøitirst → eufidist → eufidist
yaye → yaye → yay → yai → ya → ya
īayes → īayes → īayes → īaie → ia → ia
īayem → īayem → īayen → īaien → iaain → iain
īwat → īwat → īwath → īwat → iwad → iwad
yayest → yayest → yayesth → yaiest → yaeest → yaeest
nehe → nāa → nā → na → n → n
nehes → nāas → nāas → nōa → na → na
nehem → nāam → lāan → lōan → lawan → lawan
nhuwat → enhuwat → enuwath → enuat → enoad → enoad
unhst → unhst → unssth → ussst → et → et
menel → menel → mener → mener → mener → mener
menels → menels → menels → menels → menelt → menelt
menelm → menelm → meneln → menell → menel → menel
mnléwat → emenléwat → emenléwath → emenléwat → ewelléwad → ewelléwad
émnlhr → émenalhr → émenall → émenall → éwenal → éwenal
njēl → enzēl → enzēr → enzēr → eðraer → edhraer
njēls → enzēls → enzels → enzels → eðrelt → edhrelt
